;accountName;saleDate;totaltransactions;avgprice;lastprice;differentip;lifespan;number_of_week;weekend;lastmethod;country;orderfreq;return
53;3c90b5df1d68cde35cdc0ea9eb2b;2010;1;1.0;1.0;1;1;6;1;40;11;1.0;0
54;dbe78b032ccc86c735fdb6370135;2010;13;28.4615384615;25.0;3;160;4;0;30;90;12.3076923077;0
55;f92283fc75b7d6ce5d3e9af774f5;2010;3;8.33333333333;5.0;1;7;5;1;30;90;2.33333333333;0
56;96b638af169f7f0b78c292fabfff;2010;7;10.0;10.0;1;64;6;1;40;30;9.14285714286;0
59;e330cf8bd7f7d87578bfd01db4ac;2010;3;10.0;5.0;2;21;5;1;40;32;7.0;0
61;30a45b491cde429aba0432c998ea;2010;25;8.4;10.0;23;973;5;1;40;50;38.92;0
64;f8126366de8166d58bf534bb73c2;2010;8;10.0;10.0;8;453;4;0;40;50;56.625;0
65;23aafc1a8f734f62964eb16f1072;2010;12;10.0;10.0;9;524;5;1;40;50;43.6666666667;0
67;96be2928e3a042e32df1755ba1a7;2010;33;10.9090909091;10.0;30;518;6;1;40;50;15.696969697;0
68;5490d592a8a795cc02fe1032c2d6;2010;4;12.5;5.0;3;10;2;0;40;32;2.5;0
70;c1c87cb9073164ecbc346502eb01;2010;41;18.2682926829;3.0;25;309;0;0;40;32;7.53658536585;0
72;f349329e23821581cfc0800a410f;2010;2;10.5;1.0;1;25;3;0;40;43;12.5;0
73;f4967dc6d41dd927125b54a01a86;2010;1;5.0;5.0;1;1;0;0;40;43;1.0;0
74;44eb509a03f075ea1539bd05bddb;2010;7;10.0;10.0;7;89;4;0;40;50;12.7142857143;0
75;c0f1cfd12aff874905025a369a79;2010;2;6.0;2.0;1;1;0;0;40;50;0.5;0
76;bb89cec73465ad94b4ee71c921ea;2010;3;16.6666666667;10.0;1;23;1;0;30;90;7.66666666667;0
78;b8dbac206045126d3be7d5fc8871;2010;3;16.6666666667;10.0;1;1;0;0;40;32;0.333333333333;0
81;ec18bbdf9d90e10aa1245c2cc5f3;2010;1;5.0;5.0;1;1;0;0;30;90;1.0;0
82;64d1de51354ca0836d5bdd9d932c;2010;5;10.0;10.0;3;159;4;0;40;50;31.8;0
86;17822c329a2a7bf4f0579cbdb3e2;2010;69;14.9275362319;10.0;44;368;4;0;40;50;5.33333333333;0
87;c178b9f7f2c667759b50d0a10b56;2010;17;12.3529411765;10.0;5;919;2;0;40;30;54.0588235294;0
88;54d073a44e237dd1ba99edc5fb0f;2010;3;10.0;10.0;3;44;2;0;40;40;14.6666666667;0
90;1627abd720bd57a3f8f8359ce256;2010;6;10.0;15.0;1;228;4;0;30;90;38.0;0
91;784aae009a60ba845aee94eab9b4;2010;111;13.0630630631;50.0;9;598;3;0;40;90;5.38738738739;0
92;30c6ac92de3251f63c6952d7de1f;2010;8;10.0;10.0;3;54;5;1;40;50;6.75;0
93;a2211cd923e849ba139db156f79b;2010;1;10.0;10.0;1;1;0;0;40;50;1.0;0
94;0f1970c6a847a699cb5a6fff1755;2010;3;31.6666666667;15.0;3;653;2;0;30;90;217.666666667;0
95;af57092ed37d6c19a8c8dde0f6d9;2010;1;30.0;30.0;1;1;1;0;30;90;1.0;0
96;9c51a5cffb6f3f724c6b5f41707e;2010;4;10.0;10.0;3;57;1;0;40;50;14.25;0
102;2a13a898c4a7f660ecfb082abb3d;2010;12;10.8333333333;10.0;1;68;5;1;30;90;5.66666666667;0
108;ed30a03ff3c76f113848cf2076ec;2010;1;5.0;5.0;1;1;1;0;40;32;1.0;0
109;bbb67d0f9d7152aa1a8651d9ec39;2010;31;11.6129032258;10.0;1;77;0;0;30;90;2.48387096774;0
112;a4fb33260fdcc7000eb0470bf9d1;2010;1;10.0;10.0;1;1;1;0;10;90;1.0;0
113;b4192f027a74a4dbfc18a6d0ea8d;2010;4;11.25;10.0;1;37;2;0;40;50;9.25;0
115;71514e768222de46b06b1cff1a84;2010;52;13.9423076923;10.0;33;571;4;0;40;32;10.9807692308;0
117;6a7b253f68502d6bb0178cd741be;2010;1;5.0;5.0;1;1;1;0;40;32;1.0;0
119;70e3ebd09262bfdff88ac5f114e8;2010;8;10.0;10.0;6;493;4;0;40;50;61.625;0
120;1c94cca119d275cf1e5d10e801fd;2010;34;10.0;10.0;1;540;2;0;10;90;15.8823529412;0
121;e8528a4debd0f70840e91911c67a;2010;2;10.0;10.0;1;9;3;0;10;15;4.5;0
122;6cb05de975924f325740989042c2;2010;29;10.0;10.0;27;155;2;0;40;50;5.34482758621;0
123;5f5f657f86d6a4e1188b71a8b87a;2010;2;35.0;20.0;2;14;0;0;10;15;7.0;0
124;4add4ef5c9310877a145cf855578;2010;3;8.66666666667;20.0;1;6;0;0;10;90;2.0;0
126;64b240e27958c2b255962420924c;2010;2;10.0;10.0;2;11;4;0;40;50;5.5;0
128;00f472b846fe8a6529e1f82235a5;2010;130;7.35384615385;10.0;2;605;4;0;10;90;4.65384615385;0
129;ca7ee84d506b0b83a62c7c41e133;2010;4;10.0;10.0;4;29;2;0;40;50;7.25;0
131;ab9d4d578542b188cd953a3848cc;2010;2;20.0;20.0;2;124;6;1;10;32;62.0;0
132;e49d497fe70bf803e7b664380c04;2010;25;10.8824;10.0;19;887;6;1;40;124;35.48;0
133;0d5f61cc690b465e085129abc9f4;2010;6;10.0;10.0;5;31;4;0;40;32;5.16666666667;0
134;f9595047d88322ccb0bdcc44a066;2010;2;12.5;5.0;1;1;2;0;40;50;0.5;0
139;f8e1067df3be7f362fd8c5133746;2010;16;11.875;10.0;15;77;2;0;40;50;4.8125;0
140;d05cb493f62a1d8cc8230b38f4e3;2010;4;10.0;10.0;4;124;0;0;40;50;31.0;0
141;0d348a831298b158f841188ae316;2010;1;10.0;10.0;1;1;2;0;10;15;1.0;0
142;45742b5860758104ab9863195340;2010;13;5.53846153846;2.0;3;121;3;0;10;90;9.30769230769;0
143;3d378b49c48b64e45ccc9fc716f5;2010;1;10.0;10.0;1;1;2;0;40;50;1.0;0
144;30f4dfbebbb3dcf407d877f618e5;2010;1;10.0;10.0;1;1;2;0;40;50;1.0;0
145;397d2273db01459941b78fb4cc73;2010;5;10.0;10.0;4;441;1;0;40;50;88.2;0
146;00cb2fa3c443ecc74c8cccc2d2da;2010;2;5.0;5.0;1;8;2;0;30;90;4.0;0
147;e7ae92ddc2753f6ea9339b9a8034;2010;18;10.0;10.0;16;167;1;0;40;50;9.27777777778;0
148;fb3ff39b063f4dadcead46523679;2010;2;20.0;20.0;1;2;3;0;10;90;1.0;0
149;7a92ced967e3c84dddeb6f254350;2010;5;7.0;5.0;5;63;2;0;10;15;12.6;0
151;09f4a8c3a2ff13be6cb115dbc66c;2010;2;3.0;1.0;1;1;2;0;10;32;0.5;0
153;896c535fef7bfb9d32ec62312878;2010;2;5.0;5.0;2;400;2;0;10;90;200.0;0
154;20768a5011138101ad78fb676854;2010;1;2.0;2.0;1;1;2;0;10;90;1.0;0
155;cb3903f27166f83fc410c5eafc5d;2010;1;2.0;2.0;1;1;2;0;10;90;1.0;0
156;c955e13b7af73b76bbe650e976bc;2010;3;5.0;5.0;3;4;5;1;40;50;1.33333333333;0
157;4fbd6a3688ff3189fbdcbfc46811;2010;12;10.8333333333;10.0;11;85;3;0;40;32;7.08333333333;0
159;80aa4ffd93357895db1db029fe4b;2010;8;16.25;10.0;6;16;4;0;10;15;2.0;0
160;cc9bd213d07cf17c86877c61eee3;2010;19;41.8421052632;10.0;3;349;1;0;30;90;18.3684210526;0
161;370b7b3a740a73d088bf653b777e;2010;15;10.0;10.0;14;534;4;0;40;50;35.6;0
165;b1f73663d0119a42ca36ac0fdfac;2010;4;35.0;50.0;3;24;5;1;10;15;6.0;0
166;cd62d8ed93f1589d3c5cc6f82dbc;2010;1;20.0;20.0;1;1;3;0;40;50;1.0;0
169;ec8c851ecec029b2cdf95014fa72;2010;15;10.0;10.0;13;841;3;0;40;32;56.0666666667;0
170;f57b930e1233bdde28e92603da98;2010;4;20.0;20.0;1;6;2;0;30;90;1.5;0
171;d72943632472d46080f5dacc04fc;2010;23;10.8260869565;2.0;15;672;2;0;40;50;29.2173913043;0
172;c33e37534b94657f172f9c21281e;2010;3;10.0;10.0;3;565;1;0;40;50;188.333333333;0
175;8def32e005dc6cf6ae086ba4f86a;2010;1;10.0;10.0;1;1;3;0;40;50;1.0;0
182;ea40bdc62aa645e82224f8a8bc40;2010;44;11.5909090909;10.0;30;284;0;0;40;50;6.45454545455;0
183;efba835146d1ca6d0f975ae60aff;2010;2;10.0;10.0;1;4;0;0;40;30;2.0;0
184;1c937bcbce24ea67f6131630f709;2010;8;5.0;5.0;5;289;4;0;30;90;36.125;0
185;22da7d7faacf9cf298bebd5a1ce0;2010;2;10.0;5.0;1;179;0;0;30;90;89.5;0
186;500ce3ea011be82fd34fd8044458;2010;3;15.0;5.0;3;53;0;0;10;15;17.6666666667;0
188;128de25ed2d3d7c8ba772d36c89a;2010;12;21.665;50.0;3;630;3;0;30;90;52.5;0
189;a4c80d646eee855ba8da326f2a2e;2010;12;10.0;10.0;1;730;4;0;40;50;60.8333333333;0
190;62eec48f07acff2b2347b2bdd0de;2010;1;10.0;10.0;1;1;3;0;10;90;1.0;0
192;5aaed3cddb9095c3da88e3357089;2010;44;11.25;5.0;1;545;2;0;40;50;12.3863636364;0
193;0d5481f852b88370ff901708481a;2010;12;25.8333333333;50.0;4;118;2;0;10;90;9.83333333333;0
197;8ff2f6f052a8d649e084ecb3b3df;2010;1;10.0;10.0;1;1;4;0;40;32;1.0;0
199;c181c0adc5816885222eb34b39ee;2010;4;23.7475;14.99;1;446;1;0;30;90;111.5;0
200;51222b94200dc347677afc7408ad;2010;3;20.0;20.0;1;4;0;0;10;90;1.33333333333;0
203;1d56c7cf66aa5235e202c2f72d4a;2010;39;18.0;25.0;22;165;0;0;40;50;4.23076923077;0
205;fc5452669b8e5c9562b568bd1c5b;2010;21;8.95238095238;2.0;17;80;6;1;40;50;3.80952380952;0
206;a4a9673dd7f59de49f8900849992;2010;13;20.0;20.0;1;232;4;0;30;90;17.8461538462;0
208;10382b24e216976fe637467dbaf3;2010;114;6.64035087719;10.0;2;603;4;0;10;90;5.28947368421;0
211;609d26179a6b810c12eb24393901;2010;9;17.2222222222;20.0;8;1447;1;0;61;32;160.777777778;0
212;1fc418a0cbfc158065bd84017df0;2010;47;18.0638297872;10.0;21;948;0;0;40;15;20.170212766;0
213;cfdaa929bdad94e9ce02fae3fdcc;2010;1;2.0;2.0;1;1;4;0;10;90;1.0;0
214;17a94692742ab8fd32ee527ee85e;2010;12;12.5;10.0;9;51;6;1;40;32;4.25;0
216;50d5b6467c62f7f66983a234d846;2010;8;15.0;10.0;5;29;5;1;40;50;3.625;0
218;f37e46a73f27dac07ed19b87ed97;2010;7;18.5714285714;25.0;7;633;0;0;40;50;90.4285714286;0
219;c08bbcc0a8311aba0f4c4bd697be;2010;22;14.3181818182;10.0;7;1208;1;0;30;90;54.9090909091;0
221;2d6e75b36a5ffdd20eaa3373bbfa;2010;20;10.75;10.0;19;169;5;1;40;50;8.45;0
224;ba4a796e62229e6867f29362274d;2010;8;10.625;10.0;7;56;4;0;40;50;7.0;0
225;9a0746c36f05bc8541041bde30f7;2010;4;15.0;10.0;3;41;2;0;40;50;10.25;0
226;42d208807fcfaa0723c829a18558;2010;5;7.0;10.0;4;149;6;1;40;50;29.8;0
227;82acdea3ff1783e7b2fd475927d8;2010;5;10.0;10.0;5;230;3;0;40;50;46.0;0
228;9dddda60a2142734b8be98a1970b;2010;3;11.6666666667;10.0;2;361;1;0;10;90;120.333333333;0
229;f189e51b676fa7b22b897f0f9d8c;2010;10;10.0;10.0;10;94;0;0;40;50;9.4;0
230;7f213c1f0902377b70d3bd90cd6a;2010;2;5.0;5.0;1;348;2;0;30;90;174.0;0
231;f6e1d713a541d4daca4809b62a56;2010;16;18.4375;25.0;14;448;4;0;40;50;28.0;0
238;67424d0c636d53d73e40e91a733e;2010;4;10.0;10.0;2;61;2;0;40;50;15.25;0
241;ca1c004d4d51e02af94345869cc0;2010;1;20.0;20.0;1;1;5;1;30;90;1.0;0
242;56b31184a80f08e8a0069426f193;2010;23;7.17391304348;5.0;2;771;5;1;40;90;33.5217391304;0
245;28cdcbf7a262567315413a605459;2010;1;5.0;5.0;1;1;5;1;10;90;1.0;0
246;f182e686c9a48bb1dcb1abb84115;2010;12;10.0;10.0;11;732;1;0;40;32;61.0;0
247;c758892c3e7297afc76a74a79395;2010;27;8.51851851852;5.0;2;771;5;1;40;90;28.5555555556;0
248;16f684d29860826d20d2f59d9725;2010;11;11.3636363636;10.0;2;162;5;1;10;90;14.7272727273;1
250;b2e10760b7c20f1fe5240fb8d4f1;2010;46;10.6956521739;10.0;24;329;5;1;40;50;7.15217391304;0
251;45e5970a99d1570c0788671da4bd;2010;1;10.0;10.0;1;1;5;1;40;30;1.0;0
252;c497d498511a4ad11a26a011a55a;2010;5;9.8;1.0;3;12;2;0;10;15;2.4;0
254;d68623baa218a8cc40894681a0df;2010;3;13.3333333333;10.0;1;166;2;0;10;90;55.3333333333;0
257;bb903da7132cb6692441e0b2d8d8;2010;3;5.33333333333;10.0;2;20;4;0;40;50;6.66666666667;0
259;600251f9d1753e15a2d2c31017ba;2010;1;10.0;10.0;1;1;5;1;40;50;1.0;0
260;40a9feef61cad15d8c924d75fa72;2010;36;13.8888888889;10.0;24;739;2;0;40;90;20.5277777778;0
263;4ee80257d5231cc599995d83b822;2010;1;20.0;20.0;1;1;5;1;30;90;1.0;0
264;d51ebd70b1f176d3ebc7dc04f17e;2010;4;13.25;20.0;3;16;0;0;10;32;4.0;0
269;163c8165d7bc2703c403c2e22429;2010;1;75.0;75.0;1;1;5;1;30;90;1.0;0
270;5698bdf8b4574e4f3ad17589e587;2010;16;9.4375;10.0;12;746;2;0;40;50;46.625;0
274;2d4e7b1d3c5c26ebf98c15f5eee0;2010;1;20.0;20.0;1;1;6;1;30;90;1.0;0
276;09f4924c81cb56492ce6723eef58;2010;1;20.0;20.0;1;1;6;1;30;90;1.0;0
281;9c7e64ce3dfadaf02351a43a2dda;2010;8;11.25;10.0;7;33;4;0;40;50;4.125;0
283;ab0aa7915e876fca1ca68ca4d081;2010;16;10.625;5.0;12;290;1;0;10;32;18.125;0
284;7ca443cef31d9d788a571d3b71de;2010;5;5.0;5.0;2;168;5;1;10;90;33.6;0
285;898cf7883c7f7535a68938ed767b;2010;33;13.2424242424;20.0;1;118;4;0;10;15;3.57575757576;0
289;a557777e9a2bfda83659afd97c48;2010;15;7.0;10.0;6;441;6;1;40;50;29.4;0
291;1568959230139286a180c4e35605;2010;1;10.0;10.0;1;1;6;1;40;32;1.0;0
292;a1f937edeb46c4ef5ae373a63969;2010;4;4.0;5.0;1;58;1;0;10;90;14.5;0
297;19f0227575874927231ecc96f4a4;2010;14;18.7142857143;50.0;7;60;2;0;40;50;4.28571428571;0
300;d0168297ac04922acb9c0d3e232c;2010;1;20.0;20.0;1;1;6;1;10;15;1.0;0
301;82795be7d315be103f63a27b1e32;2010;1;5.0;5.0;1;1;6;1;10;90;1.0;0
303;aabee22bf5cf94c71982d24079c3;2010;1;20.0;20.0;1;1;0;0;30;90;1.0;0
304;cfa4df9465b7d20503cc9726718a;2010;2;20.0;20.0;2;151;3;0;10;90;75.5;0
310;b055f87e3cf00e651ef90d37f2a5;2010;1;10.0;10.0;1;1;0;0;40;30;1.0;0
317;dc7bad7cdafecd031f7d6cf162b4;2010;16;11.5625;5.0;2;237;6;1;10;90;14.8125;0
319;35513d62e584e861523af7a792b9;2010;10;10.0;10.0;10;656;5;1;40;50;65.6;0
320;4755248f7676179cbbf0cfce748a;2010;3;13.3333333333;10.0;2;4;4;0;40;32;1.33333333333;0
321;5b3b28830632b81404a9d0dc0700;2010;1;10.0;10.0;1;1;0;0;10;90;1.0;0
324;22793da3af3e5dfc0dec32190926;2010;2;10.5;20.0;1;212;2;0;10;90;106.0;0
325;42fcccbd1f7ed2022ff3d00e746b;2010;23;7.95652173913;10.0;15;418;5;1;40;50;18.1739130435;0
326;a6f52bcd1ba5afee3a68bec28fd0;2010;64;14.5625;50.0;28;1337;0;0;40;15;20.890625;0
329;15dc1e9116b6b62ff8c997183b5c;2010;25;9.04;10.0;20;424;4;0;40;50;16.96;0
330;d675c36755983f71d7ffe90b3167;2010;1;75.0;75.0;1;1;0;0;30;90;1.0;0
332;f8fe2978d3f6a32c0defcedb29c1;2010;10;12.5;20.0;1;44;2;0;10;90;4.4;0
333;b7774dd1d2c3dbdc6e8dde1969c9;2010;1;5.0;5.0;1;1;0;0;30;90;1.0;0
334;524c64234fa59fb272f8f07b3dfd;2010;1;10.0;10.0;1;1;0;0;40;50;1.0;0
336;53286dac562dfb7b4c5592aeae57;2010;4;20.0;20.0;2;22;1;0;10;32;5.5;0
339;d1f16e4a8e3e3efb583691b9caf2;2010;2;7.5;5.0;1;23;2;0;10;90;11.5;0
343;63ae8889c968914697e9246cffb3;2010;55;17.9085454545;25.0;7;846;6;1;30;90;15.3818181818;0
346;cb0100e4391fd11583c80b6c5f6c;2010;2;12.5;5.0;1;1;1;0;40;32;0.5;0
350;c52a055ace194071b6b51dd94dd8;2010;2;5.5;1.0;1;247;3;0;10;90;123.5;0
352;313897d394cc9168e68cda0b2ec2;2010;2;15.0;20.0;1;16;2;0;10;15;8.0;0
353;bbfddc17583f60d6dfbedecb1276;2010;1;10.0;10.0;1;1;1;0;10;15;1.0;0
356;a7ebb22339f99d1d9f86c382ac63;2010;19;21.0526315789;20.0;19;1407;0;0;20;15;74.0526315789;0
357;fcd2e2089a498e04716d3a800898;2010;1;5.0;5.0;1;1;1;0;10;90;1.0;0
358;687bc2fbffaa4c2adffebc52b0e6;2010;3;40.0;50.0;3;188;0;0;40;30;62.6666666667;0
360;b2e05562c28822f1b6540b8e5764;2010;1;5.0;5.0;1;1;1;0;30;90;1.0;0
364;75eee22036e1886313df33c9774a;2010;2;15.0;20.0;1;7;1;0;10;90;3.5;0
369;c883f582500ab94d97dd8af9397b;2010;1;20.0;20.0;1;1;2;0;10;90;1.0;0
371;09664517759e52fca50592fabd9d;2010;10;8.7;10.0;9;110;0;0;40;111;11.0;0
373;996f7730b80a6cf5775ba8c5302f;2010;2;12.5;5.0;1;1;2;0;40;50;0.5;0
376;89813fc7cfa83ccfc7f93a0d071e;2010;4;15.0;10.0;2;49;2;0;10;90;12.25;0
382;9f575941b1e23c9da9759c1359ee;2010;1;10.0;10.0;1;1;2;0;40;30;1.0;0
384;ba47741681be375c0f47cb5a9b60;2010;4;15.0;10.0;4;115;5;1;10;15;28.75;0
386;722788fabe944cd4c56c94d29946;2010;5;21.0;20.0;4;89;0;0;40;32;17.8;0
388;d46dd5f5301837770e7fe0429866;2010;6;48.3333333333;40.0;2;310;3;0;30;90;51.6666666667;0
391;5fc1bf8c7ba78bb272564a24af22;2010;72;10.8333333333;10.0;59;607;0;0;40;50;8.43055555556;0
392;f72c9e247ca04a88fa44049bb839;2010;32;10.78125;10.0;30;581;1;0;40;50;18.15625;0
395;3d9e4bfac4907ffdf82a571666d6;2010;7;21.0;10.0;3;337;3;0;40;32;48.1428571429;0
401;0957b7385be484fe9dd8c69fb34a;2010;6;23.3333333333;30.0;1;153;1;0;30;90;25.5;0
403;c36089e4bc3e690d758948ce7be8;2010;58;9.5674137931;10.0;2;1354;5;1;30;90;23.3448275862;0
405;801d13c2bdb4dab6ba79d1241701;2010;49;10.0;10.0;28;733;0;0;40;50;14.9591836735;0
407;0073094a854d31a0c7218eb4b74a;2010;3;3.0;3.0;1;1;3;0;10;15;0.333333333333;0
409;6c4ad6a5ee6af07d64b3781b77ea;2010;5;18.0;10.0;3;300;1;0;10;15;60.0;0
413;39cb1a8a2e9ed39e09e2f88acd1c;2010;2;10.0;10.0;2;20;1;0;40;32;10.0;0
414;549d9263f52777b7a708b8f6f5d2;2010;18;10.0;10.0;6;1413;1;0;40;90;78.5;1
416;411d6c0c99cf31e4a4bb014d94b3;2010;1;50.0;50.0;1;1;3;0;40;32;1.0;0
417;bdc832c78a275edc1a5d7bb061a1;2010;1;1.0;1.0;1;1;3;0;10;78;1.0;0
418;2d40033503a77f00c91ef24972be;2010;18;10.0;10.0;18;190;4;0;40;50;10.5555555556;0
420;3c3cae189fbb412d9bc787b67809;2010;21;8.57142857143;10.0;16;153;2;0;40;50;7.28571428571;0
432;8acb2f7e25a0ed05d985bef5a0cf;2010;2;10.0;10.0;2;23;6;1;40;50;11.5;0
436;6982894cd4baafedbaaf3b31df47;2010;4;15.25;20.0;4;76;2;0;10;15;19.0;0
437;4e52da4169f1808e74e0f9f79560;2010;3;10.0;10.0;3;5;2;0;40;50;1.66666666667;0
442;e0d84fb1d5c26b9596a230bf1645;2010;12;11.25;10.0;7;225;5;1;40;50;18.75;0
444;1f477ad401f2f180bc20bd40ea94;2010;2;12.5;5.0;1;1;5;1;40;50;0.5;0
447;c05bf2b18d10c0b9fc0a20634964;2010;13;9.61538461538;10.0;2;276;1;0;10;90;21.2307692308;0
448;75532813c2993f61db6a6c2530ec;2010;21;10.9523809524;10.0;14;281;6;1;40;50;13.380952381;0
449;8686c81db5580c39d124228c41b6;2010;1;20.0;20.0;1;1;5;1;10;90;1.0;0
452;7b41b332e2e5f859b0d7256a7da0;2010;1;10.0;10.0;1;1;5;1;40;30;1.0;0
453;fe56d71dcac449331fceb2edb110;2010;15;9.0;5.0;1;67;1;0;30;90;4.46666666667;0
455;906fb292a0a5dbc5cdfbba2de44f;2010;3;10.0;10.0;1;28;4;0;40;32;9.33333333333;0
456;72e6116f73cb2986438b22189bbb;2010;11;9.09090909091;3.0;8;129;1;0;40;50;11.7272727273;0
459;86a08a8f767e2ad16dec5eb58533;2010;4;15.0;10.0;1;23;0;0;10;90;5.75;0
460;8683a0093240bbfb4640bdda1773;2010;2;7.5;5.0;2;311;1;0;10;90;155.5;0
466;fb1bdde11c1212bdc38492c823d4;2010;2;52.5;75.0;1;56;5;1;30;90;28.0;0
470;aa6b1a1e60375a923f44fd2d38b2;2010;1;50.0;50.0;1;1;5;1;10;90;1.0;0
476;e632a7dec68d3104c7015a7e9637;2010;1;10.0;10.0;1;1;6;1;40;50;1.0;0
479;23afd56d5fa6144ad989d3146608;2010;3;26.6666666667;30.0;1;70;6;1;30;90;23.3333333333;0
480;c5cdaca325905c799201e28f5b6a;2010;31;6.90322580645;10.0;21;190;6;1;40;50;6.12903225806;0
482;8ba7190c19d482c28026e917d280;2010;19;14.4210526316;2.0;14;212;1;0;10;32;11.1578947368;0
483;faee8df2872205e5e61f0163df8f;2010;2;7.5;5.0;1;1;6;1;40;50;0.5;0
490;03c37cc0d3ad776ffa1f4475e574;2010;1;20.0;20.0;1;1;6;1;10;15;1.0;0
494;e7624b55b25068743b9ffe0e9bf3;2010;1;10.0;10.0;1;1;0;0;40;50;1.0;0
496;7dbeb09c70c66031fc9978df3eba;2010;6;11.0;2.0;3;99;1;0;10;90;16.5;0
499;4eadeb061b1c6e9b3f324c8126a4;2010;58;7.02896551724;10.0;49;1438;2;0;40;32;24.7931034483;1
501;6d31a8aa4203cf3c4ea01fdaf68e;2010;11;13.6363636364;25.0;4;276;3;0;40;32;25.0909090909;0
503;780b099102461b7f81981e53ce2f;2010;22;8.40909090909;5.0;2;386;1;0;10;90;17.5454545455;0
504;e39cac241d3a57d18d8b2a9f0924;2010;6;10.0;10.0;4;127;0;0;40;30;21.1666666667;0
507;58735ec794971477d8c782bef8b3;2010;19;10.5263157895;60.0;5;186;4;0;30;90;9.78947368421;0
508;072f53747760ea1e97407f01198f;2010;1;10.0;10.0;1;1;0;0;10;90;1.0;0
509;8a1df3e9ad41d09b1984fd85f8c4;2010;1;10.0;10.0;1;1;0;0;40;50;1.0;0
